experiment,matrix_type,compression_ratio,accuracy,accuracy_std,f1_score,features,samples,completed_at
original,,,0.2916666666666667,0.08249579113843056,0.26458152958152953,15.0,200,2025-12-16 15:03:08
bernoulli_50,bernoulli,0.5,0.18333333333333332,0.031180478223116186,0.1603805453805454,55.0,200,2025-12-16 15:03:15
bernoulli_60,bernoulli,0.6,0.18333333333333332,0.031180478223116186,0.1603805453805454,55.0,200,2025-12-16 15:03:19
bernoulli_70,bernoulli,0.7,0.18333333333333332,0.031180478223116186,0.1603805453805454,55.0,200,2025-12-16 15:03:23
gaussian_50,gaussian,0.5,0.125,0.020412414523193145,0.09796536796536796,55.0,200,2025-12-16 15:03:27
gaussian_60,gaussian,0.6,0.125,0.020412414523193145,0.09796536796536796,55.0,200,2025-12-16 15:03:31
gaussian_70,gaussian,0.7,0.125,0.020412414523193145,0.09796536796536796,55.0,200,2025-12-16 15:03:36
logistic_henon_50,logistic_henon,0.5,0.15,0.03535533905932737,0.1168805268805269,55.0,200,2025-12-16 15:03:57
logistic_henon_60,logistic_henon,0.6,0.15,0.03535533905932737,0.1168805268805269,55.0,200,2025-12-16 15:04:16
logistic_henon_70,logistic_henon,0.7,0.15,0.03535533905932737,0.1168805268805269,55.0,200,2025-12-16 15:04:37
